sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,42,,良好,0.1,0.1,45.7,45.0,46,11,2.3,2.3,0,3.5,296,2024-06-13 18:00,,0.1,9.2,41,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,27,,良好,0.1,0.27,29.1,29.8,16,4,7.8,8.6,0.7,0.6,93,2024-06-13 18:00,,0.2,4.7,12,0,120.65525382,24.39017512,312
新北(樹林),新北市,23,,良好,0.4,0.22,17,21.3,11,7,9.2,11,1.8,0.2,58,2024-06-13 18:00,,0.1,7.2,14,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,39,,良好,0,0.22,36.2,32.2,30,14,2.2,2.7,0.5,0.6,292,2024-06-13 18:00,,0.2,12,24,,120.37722,22.35222,204
臺南（麻豆）,臺南市,30,,良好,0.5,0.18,22.5,22.7,25,12,7.9,10.3,2.4,0.3,180,2024-06-13 18:00,,0.1,9.2,18,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,21,,良好,0.2,0.17,24.5,22.4,19,6,7.3,9.9,2.6,0.9,243,2024-06-13 18:00,,0.1,6.5,18,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,33,,良好,1.5,0.32,29.2,29.9,26,15,7.5,10.3,2.8,0.7,11,2024-06-13 18:00,,0.1,10.1,21,1,120.56373,23.96117,201
大城,彰化縣,28,,良好,0.5,0.06,30.1,30.4,22,6,0.7,2.9,2.2,4.3,197,2024-06-13 18:00,,0,5.3,19,0,120.26964167,23.85493056,85
富貴角,新北市,40,,良好,0.1,0.09,39.9,43.1,24,9,1.2,1.3,0,1.7,81,2024-06-13 18:00,,0.1,10.8,32,0,121.53656894,25.29681695,84
麥寮,雲林縣,26,,良好,0.9,0.16,27,28.3,20,4,0.8,2.4,1.6,2.9,201,2024-06-13 18:00,,0.1,3.6,16,1,120.251825,23.753506,83
關山,臺東縣,19,,良好,0.8,0.14,28.7,21.7,26,7,4.5,5.4,0.8,1,146,2024-06-13 18:00,,0.1,4.7,18,0,121.161933,23.045083,80
馬公,澎湖縣,47,,良好,4.3,0.24,5.2,7.4,26,18,20.8,65.3,44.5,1.6,188,2024-06-13 18:00,,0.1,14.5,27,3,119.566158,23.569031,78
金門,金門縣,39,,良好,0.3,0.1,33,35.6,11,6,7.5,8.3,0.8,2.7,219,2024-06-13 18:00,,0.1,11.9,23,0,118.312256,24.432133,77
馬祖,連江縣,41,,良好,0.3,0.21,30.3,32.8,5,0,11.2,12.4,1.1,2.2,12,2024-06-13 18:00,,0.1,12.5,27,0,119.93149378,26.15188416,75
埔里,南投縣,26,,良好,1.3,0.16,20.1,19.9,10,9,2.1,3.9,1.7,1.6,1,2024-06-13 18:00,,0.1,8.1,9,1,120.967903,23.968842,72
復興,高雄市,31,,良好,1.3,0.4,18.9,22.2,19,13,16.9,19.4,2.5,0.9,309,2024-06-13 18:00,,0.4,9.6,17,0,120.312017,22.608711,71
永和,新北市,29,,良好,1.2,0.64,21.2,26.6,13,11,14,22.4,8.4,0.8,100,2024-06-13 18:00,,0.3,9,17,0,121.516306,25.017,70
竹山,南投縣,22,,良好,1.1,0.1,32.9,24.5,13,9,3.2,3.5,0.3,2.1,222,2024-06-13 18:00,,0,6.7,12,0,120.677306,23.756389,69
中壢,桃園市,32,,良好,0,1.04,13,17.6,12,10,19.6,52.3,32.6,0.9,134,2024-06-13 18:00,,0.6,8.7,16,0,121.221667,24.953278,68
三重,新北市,31,,良好,,,8.4,,23,9,,,,-,-,2024-06-13 18:00,,0.8,9.6,28,0,121.493806,25.072611,67
冬山,宜蘭縣,31,,良好,0.4,0.16,29.4,28.1,19,8,4.7,6.5,1.7,1,293,2024-06-13 18:00,,0.2,9.4,24,0,121.792928,24.632203,66
宜蘭,宜蘭縣,31,,良好,0.4,0.21,25.9,34.6,15,6,4.8,6,1.1,0.7,326,2024-06-13 18:00,,0.1,5.1,18,0,121.746394,24.747917,65
陽明,臺北市,29,,良好,1,0.16,32.5,31.2,16,10,4.5,5.5,0.9,,,2024-06-13 18:00,,0.1,5.9,16,0,121.529583,25.182722,64
花蓮,花蓮縣,31,,良好,0.6,0.28,42.7,34.6,19,12,6.6,7.2,0.5,1.8,42,2024-06-13 18:00,,0.2,7,18,0,121.599769,23.971306,63
